抒号,行名,A,B,C,D,E,F,G
1,交通,0.343,8.909,20.68,3.521,79.6,4.557,5.002
2,中信,0.483,13.27,0,1.952,101.5,4.365,5.107
3,光大,0.404,13.49,39.01,3.35,78.4,3.615,5.501
4,华夏,0.838,17.4,0,3.212,138.6,5.918,5.202
5,民生,0.838,25.06,8.897,2.868,84.74,4.566,4.907
6,广发,0.149,3.132,0,3.043,99.19,4.923,3.501
7,深发,1.21,30.95,25.29,6.88,93.01,5.643,6.324
8,招商,0.593,16.02,13.29,3.041,79.5,4.453,6.591
9,兴业,0.637,18.85,12.59,2.984,105.6,4.504,7.227
10,浦发,0.898,25.78,9.051,4.238,120.8,4.892,7.534
11,烟台,0.19,1.657,13.87,3.938,100.9,11.66,2.557
12,蚌埠,0.122,3.88,0,6.894,65.45,3.573,4.958
